Price,Open,Close
Ticker,QQQ,QQQ
Date,,
2008-03-06,43.09000015258789,42.16999816894531
2008-03-07,41.91999816894531,42.06999969482422
2008-03-10,42.0099983215332,41.2599983215332
2008-03-11,41.86000061035156,42.83000183105469
2008-03-12,43.0,42.709999084472656
2008-03-13,42.22999954223633,43.040000915527344
2008-03-14,43.33000183105469,42.25
2008-03-17,41.290000915527344,41.47999954223633
2008-03-18,42.2400016784668,43.33000183105469
2008-03-19,43.5099983215332,42.2599983215332
2008-03-20,42.349998474121094,43.09000015258789
2008-03-24,43.279998779296875,44.58000183105469
2008-03-25,44.70000076293945,44.83000183105469
2008-03-26,44.66999816894531,44.70000076293945
2008-03-27,44.439998626708984,43.709999084472656
2008-03-28,44.02000045776367,43.4900016784668
2008-03-31,43.650001525878906,43.720001220703125
2008-04-01,44.41999816894531,45.59000015258789
2008-04-02,45.70000076293945,45.4900016784668
2008-04-03,45.290000915527344,45.59000015258789
2008-04-04,45.77000045776367,45.86000061035156
2008-04-07,46.13999938964844,45.7599983215332
2008-04-08,45.40999984741211,45.40999984741211
2008-04-09,45.470001220703125,44.900001525878906
2008-04-10,44.93000030517578,45.540000915527344
2008-04-11,45.02000045776367,44.279998779296875
2008-04-14,44.209999084472656,44.08000183105469
2008-04-15,44.2400016784668,44.13999938964844
2008-04-16,44.689998626708984,45.369998931884766
2008-04-17,45.41999816894531,45.27000045776367
2008-04-18,46.470001220703125,46.709999084472656
2008-04-21,46.619998931884766,47.040000915527344
2008-04-22,46.75,46.34000015258789
2008-04-23,46.68000030517578,46.849998474121094
2008-04-24,46.869998931884766,47.27000045776367
2008-04-25,47.31999969482422,47.150001525878906
2008-04-28,47.2599983215332,47.2400016784668
2008-04-29,47.150001525878906,47.599998474121094
2008-04-30,47.70000076293945,47.209999084472656
2008-05-01,47.22999954223633,48.70000076293945
2008-05-02,49.15999984741211,48.77000045776367
2008-05-05,48.77000045776367,48.630001068115234
2008-05-06,48.4900016784668,48.93000030517578
2008-05-07,48.939998626708984,48.040000915527344
2008-05-08,48.2400016784668,48.400001525878906
2008-05-09,48.040000915527344,48.209999084472656
2008-05-12,48.279998779296875,49.09000015258789
2008-05-13,49.11000061035156,49.220001220703125
2008-05-14,49.40999984741211,49.11000061035156
2008-05-15,49.119998931884766,49.970001220703125
2008-05-16,50.06999969482422,50.0099983215332
2008-05-19,50.04999923706055,49.650001525878906
2008-05-20,49.470001220703125,49.27000045776367
2008-05-21,49.33000183105469,48.18000030517578
2008-05-22,48.29999923706055,48.349998474121094
2008-05-23,48.18000030517578,48.20000076293945
2008-05-27,48.29999923706055,49.04999923706055
2008-05-28,49.279998779296875,49.25
2008-05-29,49.279998779296875,49.689998626708984
2008-05-30,49.880001068115234,50.0099983215332
2008-06-02,49.91999816894531,49.400001525878906
2008-06-03,49.59000015258789,49.130001068115234
2008-06-04,48.97999954223633,49.7599983215332
2008-06-05,49.88999938964844,50.54999923706055
2008-06-06,50.11000061035156,49.029998779296875
2008-06-09,49.130001068115234,48.77000045776367
2008-06-10,48.27000045776367,48.540000915527344
2008-06-11,48.439998626708984,47.369998931884766
2008-06-12,47.709999084472656,47.41999816894531
2008-06-13,47.709999084472656,48.369998931884766
2008-06-16,48.119998931884766,48.79999923706055
2008-06-17,48.95000076293945,48.540000915527344
2008-06-18,48.2599983215332,48.02000045776367
2008-06-19,47.93000030517578,48.77000045776367
2008-06-20,48.33000183105469,47.41999816894531
2008-06-23,47.61000061035156,47.04999923706055
2008-06-24,46.83000183105469,46.810001373291016
2008-06-25,47.0099983215332,47.56999969482422
2008-06-26,46.689998626708984,45.650001525878906
2008-06-27,45.599998474121094,45.650001525878906
2008-06-30,45.5099983215332,45.16999816894531
2008-07-01,44.810001373291016,45.810001373291016
2008-07-02,45.95000076293945,44.709999084472656
2008-07-03,44.97999954223633,44.630001068115234
2008-07-07,45.040000915527344,44.900001525878906
